"Not confirmed","Niet voorgemeld"
Confirmed,Voorgemeld
Today,Vandaag
Tomorrow,Morgen
"In %1 days","Over %1 dagen"
Live,Live
Test,Test
Off,Off
"Always show deliveryoptions","Altijd bezorgopties tonen"
"Only for products that are in stock","Alleen voor producten die op voorraad zijn"
"There are no available options","Er zijn geen beschikbare opties"
label,label
"No cut-off time","Geen cut-off tijd"
"A4 Format","A4 Formaat"
"A6 Format","A6 Formaat"
"No Address data found.","Geen adres data gevonden."
"Invalid GetDeliveryDate response: %1","Ongeldig GetDeliveryDate response: %1"
"Invalid GetTimeframes response: %1","Ongeldig GetTimeframes response: %1"
"Invalid GetLocationsResult response: %1","Ongeldig GetLocationsResult response: %1"
"No Type specified","No Type specified"
ok,ok
"Unable to extract the house number, because the street data could not be found","Het is niet mogelijk om het huisnummer op te halen. Er is geen adres gevonden"
"Unable to extract the house number, could not find an number inside the street value","Er is geen huisnummer in het adres veld beschikbaar"
"Invalid house number supplied: %1","Ongeldig huisnummer opgegeven: %1"
"Unable to retrieve barcode data.","Het is niet mogelijk om de barcode data op te halen."
"Invalid barcodetype requested: %s","Ongeldig barcodetype opgevraagd: %s"
"Missing required parameters: %1","Er ontbreken vereiste parameters: %1"
"Object with id ""%1"" does not exist.","Object met id ""%1"" bestaat niet."
"Invalid GenerateBarcode response: %1","Ongeldig GenerateBarcode response: %1"
"Failed on soap call : %1","Failed on soap call : %1"
"SOAP extension is not loaded.","De SOAP extension is niet geladen."
Legend,Legenda
"Shipping method","Verzend methode"
Disabled,Uit
"Test Mode","Test Modus"
"Live Mode","Live Modus"
"Magento &amp; 3rd party version compatibility","Magento &amp; 3rd party versie compatibiliteit"
"Magento Community Edition version","Magento Community Edition versie"
"Magento Enterprise Edition version","Magento Enterprise Edition versie"
"PostNL version","PostNL versie"
Support,Support
"This extension is developed by Total Internet Group (<a href=""https://tig.nl"" target=""_blank"">TIG</a>) commissioned by PostNL.","Deze extensie is ontwikkeld door Total Internet Group (<a href=""https://tig.nl"" target=""_blank"">TIG</a>) in opdracht van PostNL."
"Extension basic configuration and account information","Extensie basis configuratie en account informatie"
"For questions related to your PostNL account and PostNL delivery options, please contact PostNL.","Voor vragen met betrekking tot uw PostNL account en PostNL bezorgopties, neem a.u.b. contact op met PostNL."
Phone:,Telefoon:
Website:,Website:
